Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Affiliates,URL
AWS Machine Learning Engineer,nanodegree,Learn the data science and machine learning skills required to build and deploy machine learning models in production using Amazon SageMaker.,intermediate,5 Months,4.7,143.0,"Feature Engineering,  Machine Learning Fluency,  Data Loading with SageMaker,  Amazon S3,  Neural Network Basics,  Deep Learning Fluency,  Hyperparameter Tuning,  Machine Learning Framework Fundamentals,  SageMaker JumpStart,  Cloud Resource Allocation,  Distributed Model Training with SageMaker,  AWS Lambda ",Basic knowledge of machine learning algorithms and Python programming,AWS,https://www.udacity.com/course/aws-machine-learning-engineer-nanodegree--nd189
SQL,nanodegree,"Master SQL, the core language for big data analysis, to enable insight-driven decision-making and strategy.",beginner,2 Months,4.6,339.0,"SQL, PostgreSQL, JOINs, Subqueries, Window Functions, Partitions, Data Cleaning, DDL, DML, Relational and Non-Relational Databases",Basic understanding of data types,,https://www.udacity.com/course/learn-sql--nd072
Machine Learning DevOps Engineer,nanodegree,Gain the DevOps skills required to automate the various aspects and stages of building and monitoring machine learning models.,advanced,4 Months,4.6,115.0,"API development,  Automated model scoring,  CI/CD,  Model testing,  Data Version Control,  Machine Learning Pipelines",Prior experience with Python and Machine Learning,,https://www.udacity.com/course/machine-learning-dev-ops-engineer-nanodegree--nd0821
Artificial Intelligence for Trading,nanodegree,"Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.",intermediate,6 Months,4.6,789.0,"Momentum Trading Strategy, Smart Beta, Alpha Factors, Natural Language Processing, Deep Learning, Neural Networks",Python & Mathematics,WorldQuant,https://www.udacity.com/course/ai-for-trading--nd880
React,nanodegree,Learn to build declarative user interfaces for the web with React as well as manage state more predictably in your applications with Redux.,intermediate,2 Months,4.7,1269.0,"React Component State,  React Router,  React Hooks,  JavaScript Functions,  Application State Management with Redux,  React-Redux Bindings,  React Component State,  Fetching Data,  React Native Basics,  Data Lifecycle Management,  Jest,  React-Redux Bindings,  React Design Patterns,  Software Testing","HTML & CSS, JavaScript, Asynchronous JavaScript (AJAX) and Web forms",,https://www.udacity.com/course/react-nanodegree--nd019
Self-Driving Car Engineer,nanodegree,Learn the techniques that power self-driving cars across the full stack of a vehicle’s autonomous capabilities.,advanced,5 Months,,,"Computer Vision, Deep Learning, Sensor Fusion, Localization, Self-Driving Cars, Path Planning and Control","Python, C++, Linear Algebra and Calculus","Waymo, Mercedes-Benz",https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd0013
UX Designer,nanodegree,Design impactful user experiences for products in today’s digital world.,beginner,3 Months,4.7,1032.0,"User Research, User Experience, Prototyping, Interactive Design, User Interface Design, Usability Testing",No Experience Required.,,https://www.udacity.com/course/ux-designer-nanodegree--nd578
Java Developer,nanodegree,"Learn back-end development with Java, one of the most popular programming languages in the world.",intermediate,4 Months,4.5,359.0,"Java, Spring Boot, Rest API, MySQL, MongoDB",Intermediate knowledge of Java,,https://www.udacity.com/course/java-developer-nanodegree--nd035
Data Engineering with Microsoft Azure ,nanodegree,Master job-ready Azure skills like designing data models and utilizing other in-demand components of the cloud computing service.,intermediate,4 Months,,,"Database Normalization,  Data Modeling Basics,  PostgreSQL,  SQL and SQL scripting, Denormalized Data Schemas,  Relational data modeling,  OLAP Cubes,  Data Warehouse Architecture,  Data Extraction,  Big Data Fluency,  Apache Spark,  Data Lakes,  Apache Airflow,  Azure Pipelines
","Experience with SQL, Python, Azure, and Github",,https://www.udacity.com/course/data-engineering-with-microsoft-azure-nanodegree--nd0277
AI Programming with Python,nanodegree,"Learn Python, NumPy, pandas, Matplotlib, PyTorch, calculus, and linear algebra—the foundations for building your own neural network.",beginner,3 Months,4.7,1626.0,"Python, NumPy, Pandas, Matplotlib, PyTorch",Basic Algebra and Programming Knowledge,,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089
Data Product Manager,nanodegree,Apply data science best practices to build products that deliver the right experience to the right users—at the right time.,intermediate,3 Months,4.3,220.0,"Data Science, Product Management, Product Design, Data Visualization, User Journey Maps",Prior Data Analysis & Product Management Experience Recommended,,https://www.udacity.com/course/data-product-manager-nanodegree--nd030
Intermediate Python,nanodegree,"Learn how to plan, design, and implement enterprise data infrastructure solutions and create the blueprints for your organization’s data success.",intermediate,2 Months,4.4,144.0,"Python, Object-oriented programming, Modular code, Python Package Index",Basic Python,,https://www.udacity.com/course/intermediate-python-nanodegree--nd303
Growth Product Manager,nanodegree,"Lead experimentation and data-driven decision-making to drive products to the next level of scale, impact, and profitability.",intermediate,3 Months,4.5,50.0,"Acquisition Strategy,  Growth Loops,  Product Management,  Activation Metrics,  Growth Strategy,  Activation Strategy,  Product Monetization Strategy,  Product Monetization Metrics,  Premium Value,  Cohort Analysis,  Experiment Design,  Target Personas,  Customer Acquisition Cost,  User Journey Maps",Prior Product Management Experience recommended,,https://www.udacity.com/course/growth-product-manager-nanodegree--nd037
Front End Web Developer,nanodegree,Learn how to build high quality websites and dynamic applications to create stunning user experiences for the web.,intermediate,4 Months,4.6,1194.0,"JavaScript, HTML, CSS, Webpack, Flexbox, Node, Object-oriented Programming","Knowledge of basic HTML, CSS, and JavaScript",,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011
Blockchain Developer,nanodegree,"Demand for blockchain developers is skyrocketing. In this program, you'll work with the Bitcoin and Ethereum protocols, build projects for real-world application, and gain the essential skills for a career in this dynamic space.",intermediate,4 Months,4.5,566.0,"Ethereum Blockchain, Blockchain Architecture, Data Auditing",Object-oriented programming,,https://www.udacity.com/course/blockchain-developer-nanodegree--nd1309
Deep Reinforcement Learning,nanodegree,Master the deep reinforcement learning skills that are powering amazing advances in AI—and start applying these skills to applications like video games and robotics.,advanced,3 Months,4.6,534.0,"Reinforcement Learning, Neural Networks, PyTorch, Deep Q-Networks (DQN), Deep Deterministic Policy Gradients (DDPG)","Experience with Python, Probability, Machine Learning, & Deep Learning.","Unity, Nvidia Deep Learning Institute",https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893
Computer Vision,nanodegree,"Learn the in-demand skills of computer vision, a growing field of AI, that empower advancements in robotics and automation.",advanced,3 Months,4.7,798.0,"Convolutional Neural Networks, Recurrent Neural Networks, Simultaneous Localization and Mapping, Object Tracking, Image Classification, Deep Learning","Python, Statistics, Machine Learning, & Deep Learning","Affectiva, Nvidia Deep Learning Institute",https://www.udacity.com/course/computer-vision-nanodegree--nd891
Data Structures and Algorithms,nanodegree,Get hands-on practice with over 100 data structures and algorithm exercises with technical mentor support when needed to help prepare you for the workplace.,intermediate,4 Months,4.7,850.0,"Data Structures and Algorithms, Problem Solving, Interview Practice Problems, Python",Python and Basic Algebra,,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256
Robotics Software Engineer,nanodegree,"Build five hands-on projects to acquire core robotics software engineering skills: ROS, Gazebo, localization, mapping, SLAM, navigation, and path planning.",advanced,4 Months,4.5,571.0,"C++, ROS, Localization, Mapping, SLAM, Navigation, Path Planning, Robot Operating System, Robotics",Mathematics & Programming,,https://www.udacity.com/course/robotics-software-engineer--nd209
AI Product Manager,nanodegree,Develop AI products that deliver real business value by building skills that help you compete in the new AI-powered world.,beginner,2 Months,4.4,616.0,"AI Products, Training ML Models, Annotating Datasets, Prototyping a Product",No Experience Required,Appen,https://www.udacity.com/course/ai-product-manager-nanodegree--nd088
Android Kotlin Developer,nanodegree,"Master Android app development with Kotlin, a modern programming language that enables developers to be more productive.",intermediate,4 Months,4.7,355.0,"Android Development, Kotlin, Android Studio, Gradle, RESTful interfaces, Web APIs, App Architecture, Databases, Custom Views, Notifications, Location Services, Testing, Firebase",Experience with Object-Oriented Programming,Google,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940
Java Programming,nanodegree,"Elevate your Java abilities with the fundamental skills used by developers to design, code, test, and deploy cutting-edge Java software.",intermediate,3 Months,4.5,143.0,"Object-oriented programming,  functional programming,  I/O,  reflection,  concurrent programming,  Java modules","Basic programming concepts like variables, loops and conditionals.",,https://www.udacity.com/course/java-programming-nanodegree--nd079
Cloud DevOps Engineer,nanodegree,Companies are looking for talented DevOps engineers to remain competitive in this agile world. Enroll now to master skills like operationalizing infrastructure at scale and delivering applications and services at high velocity.,intermediate,4 Months,4.6,846.0,"AWS, Configuration Management with Ansible, Continuous Integration / Continuous Deployment, Microservices with Kubernetes, CloudFormation",Intermediate JavaScript,,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991
Data Architect,nanodegree,"Learn how to plan, design and implement enterprise data infrastructure solutions and create the blueprints for your organization’s data success.",advanced,4 Months,4.6,122.0,"Entity relationship diagrams,  Relational Data Design,  Online Analytical Processing,  Operational Data Stores,  Data Lake Architecture,  Data Governance
","Intermediate Python, SQL, and Basics of ETL/Data Pipelines",,https://www.udacity.com/course/data-architect-nanodegree--nd038
Data Analysis and Visualization with Microsoft Power BI,nanodegree,"Utilize Microsoft Power BI as a primary tool for data pre-processing, visualization, and analysis.",beginner,3 Months,4.7,256.0,"Power BI,  data visulations,  data modeling,  Extract-Transform-Load,  Data Analytics Expressions",Microsoft Excel,,https://www.udacity.com/course/data-analysis-and-visualization-with-power-BI-nanodegree--nd331
Natural Language Processing,nanodegree,"Learn the job-ready skills that progress computers to be able to understand, process, and respond to human language.",advanced,3 Months,4.5,525.0,"Machine Learning, Speech Recognition, Sentiment Analysis, Machine Translation, Part of Speech Tagging","Python, Statistics, Machine Learning, & Deep Learning","Amazon Alexa, IBM Watson",https://www.udacity.com/course/natural-language-processing-nanodegree--nd892
Intro to Self-Driving Cars,nanodegree,This introductory program is the perfect way to start your journey into the future of transportation—flying cars.,intermediate,4 Months,4.6,806.0,"Computer Vision, Machine Learning, Vehicle Motion, Control",Programming & Mathematics,,https://www.udacity.com/course/intro-to-self-driving-cars--nd113
Full Stack JavaScript Developer,nanodegree,"Find success as a full stack developer by focusing on topics like UI, UX, APIs, server side business logic, persistence layers, and more.",intermediate,4 Months,4.7,89.0,"Creating an API,  Databases and SQL,  Node.js,  Angular,  TypeScript,  Deployment","HTML, CSS, Basic JavaScript, JSON",,https://www.udacity.com/course/full-stack-javascript-developer-nanodegree--nd0067
Introduction to Cybersecurity,nanodegree,"Get your start in the high growth field of cybersecurity by building foundational skills including evaluating, maintaining, and monitoring the security of computer systems.",beginner,4 Months,4.5,163.0,"Threat Assessment, Security Vulnerabilities, Compliance, Governance, Risk, Incident Response",Basic knowledge of network connectivity and OS fundamentals,SecurityScorecard,https://www.udacity.com/course/intro-to-cybersecurity-nanodegree--nd545
Data Streaming,nanodegree,Learn how to stream data to unlock key insights in real-time.,advanced,2 Months,4.3,242.0,"Data Streaming, Spark, Kafka, Kafka Streaming, Spark Streaming","Intermediate Python, SQL, and experience with ETL",,https://www.udacity.com/course/data-streaming-nanodegree--nd029
Cloud Developer,nanodegree,Cloud development is the foundation for the new world of software development. Enroll now to build and deploy production-ready full stack apps at scale on AWS.,intermediate,4 Months,4.5,844.0,"AWS, Microservices, Serverless Architecture, Kubernetes",Intermediate JavaScript,,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990
Intro to Machine Learning with TensorFlow,nanodegree,"Build a solid foundation in supervised, unsupervised, and deep learning. Then, use these skills to test and deploy machine learning models in a production environment.",intermediate,3 Months,4.7,529.0,"TensorFlow, Deep Learning, scikit-learn, Supervised Learning, Unsupervised Learning",Intermediate Python,"Kaggle, AWS",https://www.udacity.com/course/intro-to-machine-learning-with-tensorflow-nanodegree--nd230
Sensor Fusion Engineer,nanodegree,"Learn to fuse lidar point clouds, radar signatures, and camera images using Kalman Filters to detect and track vehicles and pedestrians over time.",advanced,4 Months,4.7,301.0,"Perception, Lidar, Radar, Sensors, Computer Vision","Intermediate C++, Calculus, and Probability",Mercedes-Benz,https://www.udacity.com/course/sensor-fusion-engineer-nanodegree--nd313
Predictive Analytics For Business,nanodegree,"Learn essential AI concepts including search, optimization, planning, pattern recognition, and more from experts like Peter Norvig and Sebastian Thrun.",beginner,3 Months,4.7,554.0,"Data Wrangling, Classification, A/B Testing, Forecasting, Segmentation","Algebra, Descriptive Statistics, and Excel",Alteryx,https://www.udacity.com/course/predictive-analytics-for-business-nanodegree--nd008t
Intermediate JavaScript,nanodegree,"Master JavaScript, the most popular programming language in the world. Be equipped for advanced roles in web development, server-side application development, and desktop development.",intermediate,3 Months,4.5,161.0,"Functional Programming, DOM, Data Structures, Asynchronous Programming, Synchronous Programming",Basic JavaScript,,https://www.udacity.com/course/intermediate-javascript-nanodegree--nd032
Agile Software Development,nanodegree,"Get equipped with the skills you need to guide the delivery of high value products with top notch software development teams.
",beginner,3 Months,4.7,151.0,"Agile, Scrum, Kanban, XP, Minimum Viable Product",No Experience Required,ThoughtWorks,https://www.udacity.com/course/agile-software-development-nanodegree--nd144
Intro to Machine Learning with PyTorch,nanodegree,"Build a solid foundation in supervised, unsupervised, and deep learning. Then, use these skills to test and deploy machine learning models in a production environment.",intermediate,3 Months,4.7,446.0,"Introduction to Machine Learning, Supervised Learning, Deep Learning, Unsupervised Learning",Intermediate Python,"Kaggle, AWS",https://www.udacity.com/course/intro-to-machine-learning-nanodegree--nd229
AWS Cloud Architect,nanodegree,"Build confidence planning, designing, and creating high availability cloud infrastructure.",advanced,3 Months,4.6,277.0,"Cloud Infrastructure, Cloud Security, AWS, CloudFormation, High Availability Infrastructure, Serverless Computing","Experience with Cloud Computing, Programming, and AWS",,https://www.udacity.com/course/aws-cloud-architect-nanodegree--nd063
AI for Business Leaders,nanodegree,"Master the foundations of artificial intelligence so you can strategically implement machine learning technology in your organization, and leverage it for corporate growth.",intermediate,2 Months,4.6,124.0,"Artificial Intelligence, Machine Learning, Business Strategy, Data Labeling, Data Modeling","Statistics, Probability, and Business Experience",BMW,https://www.udacity.com/course/ai-for-business-leaders--nd054
AI for Healthcare,nanodegree,Be at the forefront of the AI revolution in healthcare and transform patient outcomes by enabling enhanced medical decision-making powered by machine learning.,advanced,4 Months,4.6,145.0,"Artificial Intelligence, 2D Medical Imaging, 3D Medical Imaging, Electronic Health Record Data, Deep Learning, Wearable Device Data, Supervised Learning","Intermediate Python, and Experience with Machine Learning",,https://www.udacity.com/course/ai-for-healthcare-nanodegree--nd320
iOS Developer,nanodegree,"Master the Swift programming language, and create a portfolio of iOS apps for iPhone and iPad to showcase your skills!",beginner,6 Months,4.6,897.0,"Swift programming, Core Data, UIKit, iOS networking, app publishing, User interfaces, Local Persistence, APIs",No prior knowledge required,,https://www.udacity.com/course/ios-developer-nanodegree--nd003
Flying Car and Autonomous Flight Engineer,nanodegree,"Master job-ready autonomous flight software engineering skills as you tackle advanced challenges, write real code for real aircraft, and develop a systems understanding of the Flying Car full-stack.",advanced,6 Months,4.6,254.0,"3D Motion Planning, Controls, Estimation, Kalman Filters",Mathematics & Programming,,https://www.udacity.com/course/flying-car-nanodegree--nd787
Artificial Intelligence,nanodegree,"Learn essential Artificial Intelligence concepts from AI experts like Peter Norvig and Sebastian Thrun, including search, optimization, planning, pattern recognition, and more.",advanced,3 Months,4.5,355.0,"Constraint Propagation,  AI Algorithms,  Constraint Satisfaction Problems,  Backtracking Search,  Optimization Algorithms,  Search Algorithms,  Minimax Search,  Bayesian networks,  Planning,  Pattern Recognition,  Time-Series Analysis with ML","Algebra, Calculus, Statistics, & Python",,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898
Digital Project Management,nanodegree,"Build confidence translating business requirements into project scope statements, creating project plans, and developing a high-performing team.
",beginner,1 Month,,,"Waterfall project management,  Strategic communication plans,  Requirements gathering,  Project scoping,  Project execution,  Gantt charts,  Agile frameworks,  Stakeholder analysis,  SMART goals,  Team development,  Cost-benefit analysis",Professional fluency in English,,https://www.udacity.com/course/digital-project-management-nanodegree--nd043
Cloud Native Application Architecture,nanodegree,"Learn to run and manage scalable applications in a cloud native environment using open source tools and projects like ArgoCD, gRPC, and Grafana.",intermediate,4 Months,4.7,151.0,"Microservice architecture,  Kubernetes,  Continuous Integration,  Continuous Delivery,  Message Passing,  Observability,  Microservices security","HTTP, Python, Git, Linux, Docker",SUSE,https://www.udacity.com/course/cloud-native-application-architecture-nanodegree--nd064
Data Visualization,nanodegree,"Combine data, visuals, and narrative to tell impactful stories and make data-driven decisions.",beginner,4 Months,4.6,206.0,"Data Visualization, Tableau, Dashboards, Data Storytelling",Basic Data Analysis,,https://www.udacity.com/course/data-visualization-nanodegree--nd197
Marketing Analytics,nanodegree,"Learn to collect and analyze data, model marketing scenarios, and communicate your findings with Excel, Tableau, Google Analytics, and Data Studios.",beginner,3 Months,4.6,359.0,"Google Analytics, Excel & Spreadsheets, Data Visualization, Customer Segmentation",No Prerequisites,,https://www.udacity.com/course/marketing-analytics-nanodegree--nd028
Cloud Architect using Microsoft Azure,nanodegree,"Meet the growing demand for Azure cloud architects and learn the skills to translate business requirements into technical specifications for reliable, scalable, and secure cloud infrastructure using Microsoft Azure.",advanced,3 Months,4.8,94.0,"Azure Security Center,  Azure Resource Manager,  Azure Pricing Calculator,  Azure Key Vault,  Azure Defender,  Cloud Cost Policies,  Cloud Cost Evaluation,  Automated Cloud Cost Optimization,  Privileged Identity Management,  Identity and Access Management Fundamentals,  Disaster Recovery Plans","Experience with cloud computing, programming and Microsoft Azure",Microsoft,https://www.udacity.com/course/cloud-architect-using-microsoft-azure-nanodegree--nd090
Ethical Hacker,nanodegree,"Learn how to find and exploit vulnerabilities, design and execute penetration testing plans, and report on test findings.",advanced,2 Months,,,"Vulnerability Management,  Penetration Testing,  Reconnaissance,  Social Engineering,  Open-source intelligence,  System and Application Auditing","Linux, Networking, Programming and Window OS",,https://www.udacity.com/course/ethical-hacker-nanodegree--nd350
RPA Developer with UiPath,nanodegree,Build the operational processes that enable the businesses of the future.,beginner,4 Months,,,"Process Automation, Business Operations, UiPath Studio, UiPath Orchestrator",Basic familiarity with Microsoft applications and data manipulation,UiPath,https://www.udacity.com/course/rpa-developer-nanodegree--nd340
Privacy Engineer,nanodegree,"Master the skills necessary to become a successful privacy engineer. Learn to create technical solutions and implement privacy principles by integrating Privacy-by-Design into product development, data infrastructure, and software release lifecycles.",intermediate,2 Months,,,"Privacy by Design Framework,  Data Minimization,  Data Encryption,  Sensitive Data Tracking,  Hashing,  Privacy Risk Assessment,  Data Privacy Fundamentals,  Data Anonymization,  k-anonymization,  Data Privacy Regulations,  Tiers of Deletion,  Redaction for Data Minimization,  Regional Privacy Regulations,  Data Lifecycle Management",Python and SQL,,https://www.udacity.com/course/privacy-engineer-nanodegree--nd325
Machine Learning Engineer for Microsoft Azure,nanodegree,"Strengthen your machine learning skills and build practical experience by training, validating, and evaluating models using Azure Machine Learning. ",intermediate,3 Months,4.4,200.0,"Azure Machine Learning, Azure Machine Learning SDK, Automation with Pipelines, Automated ML, Machine Learning Operations
","Prior experience with Python, Machine Learning, and Statistics",Microsoft,https://www.udacity.com/course/machine-learning-engineer-for-microsoft-azure-nanodegree--nd00333
Data Science for Business Leaders,nanodegree,"Master the people, platforms, and processes required to leverage the power of Data Science in your business.",intermediate,2 Months,4.4,83.0,"Business Strategy, Data Science, Data Architecture, Machine Learning, Human Capital","Statistics, Probability, and Business Experience",Alteryx,https://www.udacity.com/course/data-science-for-business-leaders--nd045
Security Engineer,nanodegree,Take advantage of the growing need for skilled security professionals by mastering the sought-after skills to protect an organization’s computer networks and systems from security threats or attacks.,intermediate,4 Months,4.7,57.0,"Cryptography, Risk Evaluation, Authentication, Authorization, Access
Management, Penetration Testing","Basics of Python, experience configuring AWS and Linux environments",,https://www.udacity.com/course/security-engineer-nanodegree--nd698
Site Reliability Engineer,nanodegree,"Learn to build automation tools that ensure designed solutions respond to requirements such as availability, performance, security, and maintainability.",intermediate,4 Months,,,"Cost-Benefit Analysis,  Building SRE Teams,  Observability Best Practices,  Prometheus,  Grafana,  Service Level Indicators,  Terraform,  
Geo-Replication,  Self-Healing System Design,  Microservice Design,  Deployment Rollback,  Deployment Automation,  Cloud Automation,  Deployment Automation,  Incident Post-Mortems,  Incident Management,  Reliability Reviews,  Capacity Management","Python or Java, Bash or Powershell, Linux, UNIX Shell and SQL",,https://www.udacity.com/course/site-reliability-engineer-nanodegree--nd087
Cloud DevOps using Microsoft Azure,nanodegree,"Learn how to deploy, test, and monitor cloud applications on Azure, one of the most popular cloud services platforms across the globe.",intermediate,3 Months,4.3,106.0,"Infrastructure as Code,  Configuration Management,  Agile Planning,  Continuous Integration,  Continuous Delivery,  Test Automation,  Monitoring","Intermediate Python, familiarity with Linux shell scripting and cloud concepts",Microsoft,https://www.udacity.com/course/cloud-devops-using-microsoft-azure-nanodegree--nd082
Security Analyst,nanodegree,"Learn to identify, correct, and respond to security weaknesses and incidents through open-ended projects that mimic workplace security challenges.",intermediate,4 Months,,,"Security controls,  Defensible Network Architecture,  security threat mitigation,  threat modeling,  vulnerability assessment,  incident detection and handling","Experience with Python, SQL, and security fundamentals",,https://www.udacity.com/course/security-analyst-nanodegree--nd324
Digital Freelancer,nanodegree,The goal of the Digital Freelancer Nanodegree program is to prepare students to enter the digital marketplace by teaching key skills to create a successful digital business. Students will learn freelancing basics and essential skills as well as how to build their personal brand to start a successful online business in the global freelancing marketplace.,beginner,1 Month,,,"Portfolio Websites,  Professional Networking,  Resumes,  Social Media Presence,  Non-Disclosure Agreements,  Service Agreements,  Freelance Pricing Frameworks,  Invoicing,  Brand Design,  Elevator pitches,  Formal Written Communication,  Project management tools,  Project scoping",Basic computer skills,,https://www.udacity.com/course/digital-freelancer-nanodegree--nd083
Cloud Developer using Microsoft Azure,nanodegree,"Master critical cloud computing skills used to deploy, build, migrate, and monitor applications on Azure.",intermediate,4 Months,4.4,65.0,"Virtual Machines,  App Services,  Microservices,  Serverless Functions,  Cloud Migration","Intermediate programming experience, familiarity with SQL databases and Git",Microsoft,https://www.udacity.com/course/cloud-developer-using-microsoft-azure-nanodegree--nd081
Golang,course,"Discover Golang’s implementation of traditional programming features, as well as extra features that make it a powerful tool.",beginner,1 Month,,,"Go programming,  Go language fundamentals,  Go environment,  basic backend,  Goroutines,  web server,  REST API",Basic computer programming,,https://www.udacity.com/course/golang--cd11970
Data Privacy,course,Equip yourself with industry-guided data privacy best practices for physical or virtual office environments.,beginner,1 Month,,,"Privacy Impact Assessments,  Data privacy fundamentals,  Data privacy classification,  Data privacy governance,  Data privacy checklists,  Data privacy best practices,  Data loss prevention,  Technical cybersecurity controls,  Procedural cybersecurity controls,  Cybersecurity controls,  NIST Cybersecurity framework,  Data privacy regulations",Understanding of data privacy regulations and cybersecurity best practices,,https://www.udacity.com/course/data-privacy--cd1826
Cloud Computing for Business Leaders,nanodegree,Focus on the unique knowledge and skills that business leaders need to unlock the value of cloud technologies in their organizations.,intermediate,2 Months,,,"Digital transformation,  leadership,  management,  cloud governance model,  novel cloud services,  operational efficiencies,  cloud center of excellence","Word Processors, Spreadsheets, Presentation Tools",,https://www.udacity.com/course/cloud-computing-for-business-leaders-nanodegree--nd046
Security Architect,nanodegree,The goal of the Security Architect Nanodegree is to equip learners with the necessary skills to implement elements of security infrastructure design and management at an enterprise level.,intermediate,4 Months,,,"Threat Modeling,  DiD Framework,  Cybersecurity Risk Management,  Incident Response Playbooks,  Network Security Fundamentals,  Architecture Diagramming,  Access Control Matrices",Linux and AWS,,https://www.udacity.com/course/security-architect-nanodegree--nd992
